ra,dec,pmra,pmdec
6.197222719554901005e+00,-7.208256602135089963e+01,5.411907407483584009e+00,-3.188610533934245428e+00
6.181868914838175577e+00,-7.203086498735717669e+01,5.534836761428437057e+00,-3.282595957516955210e+00
5.512240919651378412e+00,-7.198819929160741538e+01,5.429879974606208748e+00,-2.878837399368186389e+00
6.203938090323311449e+00,-7.202562050268288374e+01,5.761193551536393009e+00,-2.809994630996709652e+00
5.724426259369534975e+00,-7.157324442102026296e+01,5.453116644400942015e+00,-2.818655046954591015e+00
5.692823096886923118e+00,-7.194203483910639818e+01,5.191088320207912332e+00,-2.725904814823447264e+00
6.226098259437049087e+00,-7.224599049981000576e+01,5.322765464844542826e+00,-2.592893188928135473e+00
6.553394079242218950e+00,-7.203638972073615321e+01,5.704765006053721166e+00,-2.713306819377790724e+00
5.399189251137094026e+00,-7.205386215936995598e+01,5.765392431416418439e+00,-3.111185228863395658e+00
5.055650326500897407e+00,-7.249730136109891987e+01,5.220047644995153391e+00,-2.923891654357230863e+00
6.067106266653090607e+00,-7.204100443015603616e+01,5.499871576466352607e+00,-3.434651655654838986e+00
5.326489052230549248e+00,-7.227455362292053564e+01,5.185841373499879836e+00,-2.624585306891421776e+00
5.682974350364722760e+00,-7.214786540305971130e+01,5.656815954581509764e+00,-2.843315156713332570e+00
5.586033330044434031e+00,-7.186873111842615458e+01,5.672867468501149091e+00,-2.658151279698150127e+00
6.195479624283079190e+00,-7.220226836892918243e+01,5.901123616236444214e+00,-2.901323657085084662e+00
6.696004728237993753e+00,-7.222127976233052493e+01,5.703194278176485277e+00,-2.966910730049027389e+00
5.325315030604947708e+00,-7.194896607860471249e+01,5.191649543896483365e+00,-2.875336316200832520e+00
6.155413236582885084e+00,-7.225678856586810639e+01,5.284396292312761645e+00,-2.984430828372377498e+00
5.500524414078494573e+00,-7.172682876183969825e+01,5.671752426937294089e+00,-2.699829587302033485e+00
6.179999599502465912e+00,-7.196205686539627777e+01,5.001983240459103364e+00,-3.118454168487674760e+00
5.852930636112604112e+00,-7.213494695242964383e+01,5.790782085163025172e+00,-3.096524554533476525e+00
6.052084532601162081e+00,-7.205869949067663072e+01,5.460298370506555976e+00,-3.083545020202249187e+00
5.241816290158754832e+00,-7.211690569763811709e+01,5.552728653423488758e+00,-2.512211383758601091e+00
5.044370775235079485e+00,-7.187300133079980924e+01,5.528715202808522022e+00,-2.928829072058890759e+00
6.587841191560347198e+00,-7.208519481593944533e+01,5.485864318216747471e+00,-2.880974517112957045e+00
6.601890651753875794e+00,-7.218574531299044850e+01,5.355029006212460807e+00,-3.033840912666541101e+00
4.969656592061092226e+00,-7.175356998829354893e+01,5.741446983469880472e+00,-3.070953610670116518e+00
4.644186863898358553e+00,-7.195375845487380673e+01,5.450050723940672803e+00,-3.089826907874640316e+00
7.014630053216860617e+00,-7.206595219787229212e+01,5.519597351670227248e+00,-2.718909500615401598e+00
6.318078517985686204e+00,-7.241916626324876916e+01,5.273271373281159136e+00,-3.090892048376997270e+00
6.170855880673476790e+00,-7.191422881104811893e+01,5.646154439698131355e+00,-3.094557038911522895e+00
6.004586804655752452e+00,-7.193781803359793514e+01,5.581547367966451567e+00,-2.841141673057682837e+00
6.144380709696455334e+00,-7.204029423545608779e+01,6.098346657295702578e+00,-3.291506958306698927e+00
6.059613029006286844e+00,-7.215736675404652090e+01,5.261846590411870750e+00,-3.086062974341562182e+00
6.364992490753781595e+00,-7.190688119383172250e+01,5.681821062398786815e+00,-2.934639113190713466e+00
5.018985216102399782e+00,-7.216547126116907407e+01,5.160712298966666722e+00,-3.043180079896381507e+00
7.378379839828109965e+00,-7.209339415573559506e+01,5.388699854865481420e+00,-2.862127765119037548e+00
6.414180296915050761e+00,-7.216886496759441627e+01,5.558980427616353914e+00,-3.403352773914763318e+00
5.899643771280638660e+00,-7.181328129469143562e+01,5.265344066998405737e+00,-2.564208062741605509e+00
6.802864516349637292e+00,-7.217870421623894117e+01,5.833370626826638095e+00,-2.740762749493049988e+00
6.328210052688484133e+00,-7.215425474539608786e+01,5.714283335912617723e+00,-3.035682551429075726e+00
5.482306940294351172e+00,-7.219643082557622904e+01,5.471995581613023241e+00,-2.859608803051437498e+00
6.067778759676963674e+00,-7.192170780714333489e+01,5.342462852045523292e+00,-2.985823409026366448e+00
6.563422013316335679e+00,-7.210201689464847163e+01,5.660554669938997030e+00,-3.175174629425638440e+00
5.459432834321806816e+00,-7.232292416601853802e+01,5.461527613657519709e+00,-2.678663671121685130e+00
6.276706962261465073e+00,-7.212197845241909988e+01,5.219876130818999371e+00,-3.123194571730297575e+00
6.124326074590780600e+00,-7.204752468310178415e+01,5.725581457671446550e+00,-2.525620237556616132e+00
6.714008915267869249e+00,-7.206016756354753738e+01,5.597394240409809818e+00,-2.977250616192028687e+00
5.922519709965743395e+00,-7.182404252710074388e+01,5.717322983880968934e+00,-2.925505573983659513e+00
5.486936486114715628e+00,-7.215197189132862832e+01,5.676076290856781448e+00,-2.704226828550332140e+00
5.909303095786389903e+00,-7.193121691990643285e+01,4.994309344564290321e+00,-3.083394946566158978e+00
5.584311112464294347e+00,-7.214097792141048160e+01,5.693663696691740661e+00,-2.621867558708787183e+00
6.805470382219213299e+00,-7.196456055776725691e+01,5.765751670959224917e+00,-2.493111671195815227e+00
5.991808901481851635e+00,-7.191207317762187756e+01,5.411208462206981373e+00,-3.245452748978895130e+00
5.958569601575730346e+00,-7.178023036738800045e+01,5.272567825244827588e+00,-2.722835673723412064e+00
5.489627601737138818e+00,-7.204639879376543377e+01,5.489632675310875065e+00,-2.760300775442658949e+00
6.306166699669470077e+00,-7.222925907842265758e+01,5.660747217539880083e+00,-3.089328900228768493e+00
5.458870796586091423e+00,-7.225589923872580300e+01,5.583572378460090135e+00,-2.973366539696187694e+00
4.945814391177727920e+00,-7.203033483378308688e+01,5.486549350370337308e+00,-3.020092835622884664e+00
6.427279173474768292e+00,-7.224435966299431300e+01,5.610666802000685571e+00,-2.347355991175557044e+00
